id,50000_units,5000_units,500_units,50_units,5_units
2507,2500,300,30,20,10
2508,300,150,125,50,25
2509,2745.38,549.08,164.72,54.91,21.96
2510,500,100,80,60,15
2511,1500,500,160,100,50
2512,3000,750,250,125,75
2513,1000,100,85,75,50
2514,9000,1350,350,50,15
2515,2000,300,50,10,2
2516,5000,1000,250,80,10
2517,500,200,150,125,100
2518,5000,500,100,50,30
2519,1500,350,75,25,15
2520,10000,1000,100,10,2
2521,4000,800,300,150,75
2522,650,350,75,8,6
2523,1000,600,150,20,15
2524,1600,1000,500,100,50
2525,185,50,35,20,10
2526,2745.38,384.35,192.18,71.38,24.16
2527,1537.41,461.22,109.82,38.44,16.47
2528,3300,600,200,100,60
2529,1976.67,823.61,549.08,439.26,329.45
2530,2000,500,75,10,5
2531,6000,400,200,150,30
2532,5000,500,50,5,1
2533,5000,700,75,8,1
2534,2000,750,100,50,20
2535,6165.87,1233.17,308.29,184.98,123.32
2536,400,280,110,80,20
2537,1000,150,75,50,25
2538,3000,2000,1500,1000,750
2539,180,85,50,35,20
2540,901.47,450.74,112.68,18.78,7.51
2541,2745.38,494.17,197.67,10.98,8.79
2542,2464.14,1232.07,246.41,73.92,12.32
2543,3500,500,200,50,35
2544,254.28,178,20.34,2.54,0.25
2545,15000,1000,500,100,17
2546,1921.76,823.61,329.45,164.72,82.36
2547,1500,300,100,40,20
2548,3500,600,220,90,60
2549,2000,250,150,25,5
2550,5000,750,250,60,5
2551,2000,200,20,2,1
2552,20000,2000,500,50,10
2553,7392.43,1478.49,184.81,73.92,61.6
2554,2500,1000,175,100,20
2555,4941.68,1647.23,823.61,164.72,82.36
2556,1098.15,549.08,109.82,10.98,2.2
2557,20000,2000,200,50,10
2558,700,500,150,50,20
2559,1098.15,384.35,87.85,21.96,10.98
2560,3699.52,369.95,61.66,37,12.33
2561,1000,600,150,40,5
2562,10000,1000,100,10,1
2563,4000,800,150,50,25
2564,4500,600,60,20,3
2565,2000,500,250,100,50
2566,2750,550,200,85,50
2567,200,50,20,10,5
2568,500,250,100,25,10
2569,616.59,308.29,30.83,12.33,6.17
2570,2200,325,75,12,5
2571,5000,250,50,20,5
2572,8632.22,1479.81,493.27,184.98,37
2573,1375,500,150,60,40
2574,1000,150,65,40,20
2575,900,80,60,25,10
2576,500,100,50,30,25
2577,2196.3,988.34,274.54,82.36,32.94
2578,70,40,20,10,5
2579,901.47,67.61,22.54,6.01,3
2580,1317.78,614.96,362.39,181.19,82.36
2581,3328.34,230.6,73.99,24.66,6.17
2582,761.42,300.63,70.23,19.71,4.93
2583,2500,1750,750,250,150
2584,1500,500,150,75,50
2585,300,200,100,50,30
2586,1250,150,20,5,1
2587,1500,250,75,50,30
2588,5078.85,1015.77,177.76,18.28,5.08
2589,1500,500,150,50,20
2590,1000,500,200,100,50
2591,5000,2250,500,200,30
2592,2196.3,131.78,65.89,27.45,21.96
2593,975,150,75,25,5
2594,150,80,50,25,10
2596,270.4,54.08,20.28,13.52,3.38
2595,801.56,166.48,73.99,24.66,6.17
2597,6000,1500,200,20,10
2598,2000,500,200,50,25
2599,1200,800,400,150,50
2601,2500,300,110,105,50
2602,5000,2000,350,45,10
2600,1200,300,150,75,35
2603,500,100,50,25,10
2604,4200,840,180,30,6
2605,1523.66,507.89,203.15,101.58,50.79
2607,1100,250,200,150,100
2606,5000,2500,1000,100,10
2608,2100,800,300,135,100
2609,1485,473,151,45,15
2610,1000,150,70,30,20
2611,1500,180,25,5,2
2612,4000,1200,400,100,20
2614,96,48,24,12,6
2613,1500,250,150,75,10
2615,1500,400,100,15,5
2616,12300,1250,125,25,10
2617,1000,500,150,40,18
2618,5000,1000,50,12,2
2620,2000,200,50,25,10
2619,1750,250,100,50,20
2621,631.32,473.49,315.66,31.57,12.63
2622,2500,1000,200,75,25
2624,1479.81,739.9,308.29,37,6.17
2623,1000,500,250,100,10
2625,965,147,65,25,5
2626,2196.3,384.35,131.78,54.91,21.96
2627,6000,750,120,99,50
2628,1000,250,100,50,25
2629,3555.2,812.62,457.1,355.52,203.15
2630,500,150,30,15,5
2632,5000,750,350,25,10
2631,800,475,200,75,30
2633,2500,1000,300,100,50
2634,5000,1250,250,100,50
2637,2500,600,150,70,30
2635,3500,750,350,120,15
2636,4000,500,40,10,5
2638,3600,600,250,90,50
2639,493.27,246.63,73.99,12.33,3.7
2640,665,190,60,15,10
2641,3200,335,36,10,5
2642,15000,1750,200,45,5
2643,1849.76,246.63,55.49,24.66,2.47
2644,2500,400,100,50,25
2645,2117.92,705.97,169.43,63.54,42.36
2646,1690.03,473.21,101.4,43.94,13.52
2647,600,110,20,10,5
2648,2000,300,100,75,50
2649,725,430,265,130,110
2650,15000,1500,300,150,100
2651,1500,500,300,225,150
2652,2500,500,30,10,5
2653,3000,800,200,60,20
2654,1500,500,150,50,20
2655,1487.22,473.21,169,67.6,27.04
2656,4000,500,200,100,50
2657,100,20,5,2,1
2658,900,300,200,150,100
2659,3250,350,35,30,25
2660,400,200,100,20,10
2661,130,70,30,12,6
2662,120,60,25,10,5
2663,1000,300,35,25,20
2664,3000,700,100,75,50
2665,1000,250,75,25,10
2666,5000,850,250,150,50
2667,3700,500,250,200,150
2668,2000,1000,400,300,250
2669,1500,125,50,15,10
2670,700,300,140,40,5
2671,500,200,60,35,15
2672,5000,700,100,25,10
2673,8632.22,739.9,98.65,18.5,6.17
2674,4392.6,1098.15,164.72,137.27,109.82
2675,3000,1500,400,200,150
2676,7000,800,100,45,15
2677,8785.2,768.71,549.08,219.63,54.91
2678,3699.52,400.78,80.16,55.49,37
2679,6500,700,80,10,5
2680,1372.69,549.08,274.54,164.72,82.36
2681,70000,10000,1500,200,30
2682,400,150,75,25,10
2683,5000,500,50,5,1
2684,17264.45,1973.08,320.63,32.06,3.7
2685,2000,350,40,20,2
2686,100,90,80,70,60
2687,5000,1500,250,100,50
2688,1500,550,300,150,7
2689,3600,630,180,90,45
2690,658.89,219.63,65.89,27.45,10.98
2691,1700,500,350,100,59
2692,2500,750,500,200,50
2693,1233.17,616.59,493.27,61.66,37
2694,750,60,40,25,20
2695,900,365,250,100,50
2696,1000,450,150,50,20
2697,11000,1870,223,37,11
2698,2000,500,250,100,50
2699,10000,1000,200,150,100
2700,5000,500,100,25,5
2701,4392.6,988.34,494.17,329.45,219.63
2702,3000,500,100,25,10
2703,3391.23,869.39,223.2,57.96,17.26
2704,6165.87,616.59,61.66,6.17,3.7
2705,10000,800,250,150,50
2706,2745.38,988.34,384.35,164.72,32.94
2707,3158,1170,158,59,49
2708,4392.6,549.08,131.78,109.82,87.85
2709,3000,1500,1000,450,400
2710,7137.98,713.8,120.8,16.47,10.98
2711,15152,1515,152,15,2
2712,3843.53,307.48,82.36,38.44,16.47
2713,5200,900,275,75,20
2714,500,150,50,25,10
2715,1647.23,549.08,109.82,54.91,10.98
2716,4200,460,50,10,5
2717,1098.15,131.78,32.94,10.98,5.49
2718,4900,980,150,50,20
2719,3294.45,549.08,82.36,16.47,10.98
2720,10000,1000,100,10,1
2721,1500,650,225,150,20
2722,200,70,40,30,20
2723,2500,500,150,50,10
2724,350,100,85,80,60
