id,50000_units,5000_units,500_units,50_units,5_units
1877,1000,500,300,175,100
1878,900,500,300,150,50
1879,4000,500,125,25,10
1880,2500,500,250,50,10
1881,2000,200,150,20,5
1882,2500,280,40,10,5
1883,2000,750,450,50,10
1884,2000,300,75,15,5
1885,50000,6000,750,85,10
1886,3800,1500,500,200,100
1887,5000,600,125,50,25
1888,511.69,102.34,30.7,10.23,5.12
1889,2466.35,369.95,184.98,123.32,49.33
1890,20000,2000,200,20,2
1891,3000,500,70,7,3
1892,5000,500,100,10,5
1893,1933.15,386.63,69.59,21.65,7.73
1894,2500,500,160,40,15
1895,2500,250,100,45,20
1896,3000,500,100,20,2
1897,3500,500,250,100,50
1898,200,150,100,50,40
1899,3000,300,25,15,5
1900,12500,2500,500,100,20
1901,10000,1000,100,10,1
1902,4392.6,439.26,54.91,16.47,10.98
1903,616.59,308.29,123.32,61.66,24.66
1904,5000,700,300,100,50
1905,1537.41,373.37,54.91,16.47,7.69
1906,10000,2500,250,50,5
1907,3082.94,431.61,123.32,24.66,12.33
1908,400,80,30,10,5
1909,800,200,100,15,5
1910,5000,2500,450,250,150
1911,500,100,50,15,5
1912,3000,300,30,10,5
1913,3294.45,658.89,131.78,27.45,10.98
1914,5000,1000,600,250,120
1915,1000,500,170,8,3
1916,700,350,180,130,80
1917,4000,400,80,60,50
1918,369.95,147.98,98.65,55.49,37
1919,25000,2700,300,100,30
1920,1200,350,120,35,10
1921,1000,300,200,100,50
1922,2019,795,155,26,20
1923,739.9,369.95,184.98,49.33,12.33
1924,24663.5,1233.17,308.29,123.32,30.83
1925,1279.23,486.11,204.68,153.51,102.34
1926,7500,1000,200,20,5
1927,3294.45,823.61,164.72,27.45,10.98
1928,900,70,35,5,4
1929,1100,900,500,300,100
1930,15000,2000,300,45,5
1931,5000,1500,500,250,115
1932,4392.6,494.17,192.18,49.42,5.49
1933,6000,600,180,50,40
1934,32944.51,3843.53,549.08,109.82,32.94
1935,4000,950,200,50,10
1936,4941.68,494.17,49.42,16.47,5.49
1937,1200,150,75,20,2
1938,4000,850,300,100,30
1939,2500,300,100,35,15
1940,15000,2500,350,100,20
1941,16000,2500,1000,700,500
1942,329.45,164.72,76.87,27.45,21.96
1943,1500,300,100,30,5
1944,9883.35,2086.49,356.9,65.89,32.94
1945,500,175,80,60,45
1946,1313,1234,123,12,1
1947,1000,300,100,25,10
1948,4000,450,55,10,8
1949,5000,1500,1000,500,300
1950,700,350,60,35,10
1951,850,160,100,55,25
1952,3082.94,406.95,215.81,80.16,55.49
1953,1000,290,120,50,20
1954,1933,902,451,168,84
1955,800,300,180,90,30
1956,400,100,35,10,2
1957,500,250,100,15,10
1958,2550,600,125,100,50
1959,1610,275,90,30,10
1960,10000,1150,130,15,5
1961,3000,1500,250,150,75
1962,2466.35,739.9,493.27,308.29,123.32
1963,2525.75,461.22,43.93,16.47,6.59
1964,600,200,100,38,10
1965,5000,1000,250,30,5
1966,300,50,20,10,5
1967,3000,1000,150,50,10
1968,2500,450,200,30,15
1969,500,250,100,50,20
1970,995,330,115,95,13
1971,3000,1000,300,200,180
1972,768.71,384.35,329.45,109.82,54.91
1973,1300,300,60,30,20
1974,400,200,30,5,1
1975,7000,1000,350,150,50
1976,1000,500,200,50,20
1977,1500,300,150,60,30
1979,10981.5,1372.69,384.35,274.54,219.63
1978,150,40,20,7,3
1980,147,123,98,73,49
1982,2700,900,190,50,9
1983,6000,2500,1000,200,40
1984,8000,4500,2000,750,250
1981,2500,500,200,30,10
1985,900,400,150,30,15
1986,5000,350,80,55,25
1987,900,600,200,75,20
1988,1500,750,250,125,50
1989,555,200,100,50,45
1990,700,100,20,10,5
1991,600,250,175,100,75
1992,5000,800,150,75,50
1993,5000,800,400,200,150
1994,1502.45,225.37,37.56,33.81,30.05
1995,5000,600,60,6,2
1996,5000,650,100,15,3
1997,800,400,200,100,50
1998,1500,500,225,125,30
2000,823.61,274.54,98.83,38.44,21.96
1999,10000,1000,150,30,15
2001,10000,1000,250,100,50
2003,670,250,70,17,4
2002,5000,600,100,80,50
2004,26000,2400,330,60,10
2006,1275.11,637.55,382.53,255.02,191.27
2005,1000,250,125,50,20
